TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,,,,,,,,,,
GSW,6/5/19,GSW vs. TOR,L,241,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,-14,,,,,,,,,,
TOR,6/5/19,TOR @ GSW,W,239,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14,,,,,,,,,,
GSW,6/2/19,GSW @ TOR,W,240,109,38,82,46.3,13,34,38.2,20,23,87,6,36,42,34,7,5,15,26,5,,,,,,,,,,
TOR,6/2/19,TOR vs. GSW,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5,,,,,,,,,,
GSW,5/30/19,GSW @ TOR,L,239,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,-9,,,,,,,,,,
TOR,5/30/19,TOR vs. GSW,W,241,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9,,,,,,,,,,
MIL,5/25/19,MIL @ TOR,L,240,94,30,75,40,12,34,35.3,22,31,71,12,30,42,19,7,7,11,22,-6,,,,,,,,,,
TOR,5/25/19,TOR vs. MIL,W,239,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6,,,,,,,,,,
MIL,5/23/19,MIL vs. TOR,L,240,99,38,84,45.2,10,31,32.3,13,18,72.2,8,45,53,26,2,2,11,22,-6,,,,,,,,,,
TOR,5/23/19,TOR @ MIL,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6,,,,,,,,,,
MIL,5/21/19,MIL @ TOR,L,241,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,-18,,,,,,,,,,
TOR,5/21/19,TOR vs. MIL,W,239,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18,,,,,,,,,,
GSW,5/20/19,GSW @ POR,W,264,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2,,,,,,,,,,
