,DATE,MATCHUP,MIN,H_TEAM,A_TEAM,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_EFGPerc,H_FTR,H_TOVPerc,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_EFGPerc,A_FTR,A_TOVPerc,Target
0,6/5/19,GSW vs. TOR,241,GSW,TOR,36,91,39.6,12,36,33.3,25,30,0.008329999999999999,13,28,41,25,8,3,14,21,0.4615384615384616,0.3296703296703297,11.844331641285956,43,82,52.4,17,38,44.7,20,21,0.9520000000000001,5,35,40,30,9,10,14,22,0.6280487804878049,0.25609756097560976,13.302926643861651,-14
1,6/2/19,TOR vs. GSW,240,TOR,GSW,35,94,37.2,11,38,28.9,23,26,0.00885,15,34,49,17,8,2,15,22,0.4308510638297872,0.2765957446808511,12.454334108269679,38,82,46.3,13,34,38.2,20,23,0.87,6,36,42,34,7,5,15,26,0.5426829268292683,0.2804878048780488,14.00298730395818,-5
2,5/30/19,TOR vs. GSW,241,TOR,GSW,39,77,50.6,13,33,39.4,27,32,0.008440000000000001,7,29,36,25,6,6,10,26,0.5909090909090909,0.4155844155844156,9.893153937475267,34,78,43.6,12,31,38.7,29,31,0.935,9,29,38,29,6,2,16,27,0.5128205128205128,0.3974358974358974,14.864362690449648,9
3,5/25/19,TOR vs. MIL,239,TOR,MIL,36,74,48.6,12,27,44.4,16,22,0.0072699999999999996,6,32,38,20,7,4,10,24,0.5675675675675675,0.2972972972972973,10.67463706233988,30,75,40.0,12,34,35.3,22,31,0.71,12,30,42,19,7,7,11,22,0.48,0.4133333333333333,11.039743075070255,6
4,5/23/19,MIL vs. TOR,240,MIL,TOR,38,84,45.2,10,31,32.3,13,18,0.00722,8,45,53,26,2,2,11,22,0.5119047619047619,0.21428571428571427,10.687912942090943,31,84,36.9,18,43,41.9,25,31,0.8059999999999999,10,35,45,19,6,4,6,16,0.4761904761904762,0.3690476190476191,5.78927055191046,-6
5,5/21/19,TOR vs. MIL,239,TOR,MIL,41,87,47.1,14,41,34.1,24,27,0.00889,10,34,44,32,9,5,11,23,0.5517241379310345,0.3103448275862069,10.010921004732436,37,80,46.3,11,35,31.4,17,26,0.654,7,33,40,30,8,7,12,22,0.53125,0.325,11.600928074245939,18
6,5/20/19,POR vs. GSW,265,POR,GSW,47,98,48.0,16,41,39.0,7,10,0.006999999999999999,6,32,38,31,5,6,12,15,0.5612244897959183,0.1020408163265306,10.48951048951049,46,99,46.5,12,39,30.8,15,19,0.789,15,41,56,30,10,5,15,17,0.5252525252525253,0.1919191919191919,12.258908139915006,-2
7,5/19/19,TOR vs. MIL,290,TOR,MIL,40,102,39.2,17,45,37.8,21,26,0.008079999999999999,8,47,55,28,11,10,17,30,0.4754901960784314,0.2549019607843137,13.032812020852498,38,102,37.3,14,44,31.8,22,33,0.667,13,50,63,22,14,5,20,30,0.4411764705882353,0.3235294117647059,14.64986815118664,6
8,5/18/19,POR vs. GSW,239,POR,GSW,34,85,40.0,11,35,31.4,20,33,0.006059999999999999,10,31,41,22,9,3,11,23,0.4647058823529412,0.3882352941176471,9.952949692363372,41,84,48.8,8,26,30.8,20,23,0.87,7,42,49,27,9,5,13,24,0.5357142857142857,0.27380952380952384,12.135922330097088,-11
9,5/17/19,MIL vs. TOR,240,MIL,TOR,43,92,46.7,13,41,31.7,26,35,0.00743,11,42,53,27,6,4,7,26,0.5380434782608695,0.3804347826086957,6.118881118881117,37,87,42.5,10,32,31.3,19,25,0.76,6,34,40,19,3,6,13,30,0.4827586206896552,0.28735632183908044,11.711711711711711,22
