,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FGPerc,3PM,3PA,ThreePPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,EFGPerc,FTR,TOVPerc
1,TOR,6/5/19,TOR @ GSW,W,239,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14.0,0.6280487804878049,0.25609756097560976,13.302926643861651
2,GSW,6/2/19,GSW @ TOR,W,240,109,38,82,46.3,13,34,38.2,20,23,87.0,6,36,42,34,7,5,15,26,5.0,0.5426829268292683,0.2804878048780488,14.002987303958179
4,GSW,5/30/19,GSW @ TOR,L,239,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,-9.0,0.5128205128205128,0.3974358974358974,14.864362690449648
6,MIL,5/25/19,MIL @ TOR,L,240,94,30,75,40.0,12,34,35.3,22,31,71.0,12,30,42,19,7,7,11,22,-6.0,0.48,0.41333333333333333,11.039743075070254
9,TOR,5/23/19,TOR @ MIL,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6.0,0.47619047619047616,0.36904761904761907,5.78927055191046
10,MIL,5/21/19,MIL @ TOR,L,241,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,-18.0,0.53125,0.325,11.60092807424594
12,GSW,5/20/19,GSW @ POR,W,264,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2.0,0.5252525252525253,0.1919191919191919,12.258908139915006
14,MIL,5/19/19,MIL @ TOR,L,291,112,38,102,37.3,14,44,31.8,22,33,66.7,13,50,63,22,14,5,20,30,-6.0,0.4411764705882353,0.3235294117647059,14.64986815118664
16,GSW,5/18/19,GSW @ POR,W,239,110,41,84,48.8,8,26,30.8,20,23,87.0,7,42,49,27,9,5,13,24,11.0,0.5357142857142857,0.27380952380952384,12.135922330097088
19,TOR,5/17/19,TOR @ MIL,L,240,103,37,87,42.5,10,32,31.3,19,25,76.0,6,34,40,19,3,6,13,30,-22.0,0.4827586206896552,0.28735632183908044,11.711711711711711
21,POR,5/16/19,POR @ GSW,L,241,111,38,86,44.2,18,39,46.2,17,18,94.4,10,27,37,23,8,1,13,22,-3.0,0.5465116279069767,0.20930232558139536,12.158623269734381
23,TOR,5/15/19,TOR @ MIL,L,239,100,34,92,37.0,15,42,35.7,17,20,85.0,8,38,46,17,9,4,12,21,-8.0,0.45108695652173914,0.21739130434782608,10.638297872340425
25,POR,5/14/19,POR @ GSW,L,242,94,30,83,36.1,7,28,25.0,27,31,87.1,16,31,47,21,5,5,21,16,-22.0,0.4036144578313253,0.37349397590361444,17.851071064263856
27,PHI,5/12/19,PHI @ TOR,L,239,90,28,65,43.1,9,27,33.3,25,30,83.3,5,36,41,16,4,7,15,21,-2.0,0.5,0.46153846153846156,16.09442060085837
28,POR,5/12/19,POR @ DEN,W,239,100,38,93,40.9,4,26,15.4,20,24,83.3,12,43,55,16,5,7,4,31,4.0,0.43010752688172044,0.25806451612903225,3.718854592785422
30,GSW,5/10/19,GSW @ HOU,W,241,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,5.0,0.5882352941176471,0.27058823529411763,15.162326079200856
32,DEN,5/9/19,DEN @ POR,L,240,108,33,86,38.4,12,32,37.5,30,32,93.8,16,28,44,22,7,3,6,23,-11.0,0.45348837209302323,0.37209302325581395,5.656108597285068
35,TOR,5/9/19,TOR @ PHI,L,242,101,35,81,43.2,9,36,25.0,22,29,75.9,9,25,34,25,9,4,12,24,-11.0,0.4876543209876543,0.35802469135802467,11.346444780635402
36,BOS,5/8/19,BOS @ MIL,L,240,91,29,93,31.2,7,39,17.9,26,34,76.5,12,36,48,19,9,1,14,18,-25.0,0.34946236559139787,0.3655913978494624,11.479173499508034
38,HOU,5/8/19,HOU @ GSW,L,239,99,33,79,41.8,12,41,29.3,21,24,87.5,8,31,39,19,10,3,15,20,-5.0,0.4936708860759494,0.3037974683544304,14.345830145371078
41,PHI,5/7/19,PHI @ TOR,L,240,89,33,79,41.8,6,24,25.0,17,20,85.0,5,32,37,19,6,5,19,26,-36.0,0.45569620253164556,0.25316455696202533,17.790262172284645
42,POR,5/7/19,POR @ DEN,L,239,98,36,98,36.7,10,37,27.0,16,30,53.3,13,30,43,19,6,5,6,23,-26.0,0.41836734693877553,0.30612244897959184,5.1194539249146755
45,GSW,5/6/19,GSW @ HOU,L,239,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4.0,0.5111111111111111,0.25555555555555554,9.89920806335493
47,MIL,5/6/19,MIL @ BOS,W,239,113,44,100,44.0,8,37,21.6,17,25,68.0,11,45,56,25,4,5,7,25,12.0,0.48,0.25,5.932203389830509
48,DEN,5/5/19,DEN @ POR,W,241,116,40,92,43.5,11,25,44.0,25,28,89.3,17,28,45,21,7,4,8,22,4.0,0.4945652173913043,0.30434782608695654,7.122507122507122
51,TOR,5/5/19,TOR @ PHI,W,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,5.0,0.5263157894736842,0.34210526315789475,12.94305057745918
52,GSW,5/4/19,GSW @ HOU,L,266,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5.0,0.5157894736842106,0.30526315789473685,6.91085003455425
55,DEN,5/3/19,DEN @ POR,L,341,137,54,119,45.4,15,42,35.7,14,20,70.0,24,42,66,28,11,8,20,27,-3.0,0.5168067226890757,0.16806722689075632,13.531799729364005
56,MIL,5/3/19,MIL @ BOS,W,239,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,7.0,0.5963855421686747,0.43373493975903615,13.176387912860154
59,TOR,5/2/19,TOR @ PHI,L,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21.0,0.463855421686747,0.27710843373493976,8.81316098707403
61,POR,5/1/19,POR @ DEN,W,241,97,36,85,42.4,9,29,31.0,16,20,80.0,7,40,47,18,5,6,10,22,7.0,0.4764705882352941,0.23529411764705882,9.633911368015415
62,BOS,4/30/19,BOS @ MIL,L,241,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21.0,0.45348837209302323,0.313953488372093,11.724386724386724
64,HOU,4/30/19,HOU @ GSW,L,238,109,36,77,46.8,17,40,42.5,20,25,80.0,10,31,41,17,5,2,17,21,-6.0,0.577922077922078,0.3246753246753247,16.19047619047619
67,PHI,4/29/19,PHI @ TOR,W,240,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,19,18,5.0,0.4605263157894737,0.34210526315789475,17.85043216835776
68,POR,4/29/19,POR @ DEN,L,239,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,-8.0,0.5886075949367089,0.34177215189873417,16.531961792799414
70,BOS,4/28/19,BOS @ MIL,W,241,112,47,87,54.0,13,31,41.9,5,8,62.5,3,48,51,25,5,11,11,21,22.0,0.6149425287356322,0.09195402298850575,10.835303388494879
72,HOU,4/28/19,HOU @ GSW,L,241,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,14,3,14,21,-4.0,0.5135135135135135,0.3918918918918919,13.89440254069075
75,PHI,4/27/19,PHI @ TOR,L,240,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,14,21,-13.0,0.4550561797752809,0.23595505617977527,12.473271560940843
76,SAS,4/27/19,SAS @ DEN,L,240,86,31,85,36.5,6,23,26.1,18,20,90.0,8,37,45,19,3,5,6,20,-4.0,0.4,0.23529411764705882,6.012024048096193
78,GSW,4/26/19,GSW @ LAC,W,239,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,19.0,0.5842696629213483,0.34831460674157305,8.877840909090908
80,DEN,4/25/19,DEN @ SAS,L,241,103,44,96,45.8,6,24,25.0,9,12,75.0,12,25,37,26,5,3,7,18,-17.0,0.4895833333333333,0.125,6.464721093461397
84,LAC,4/24/19,LAC @ GSW,W,240,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,3,1,10,23,8.0,0.6176470588235294,0.3058823529411765,9.394964299135664
85,UTA,4/24/19,UTA @ HOU,L,240,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,15,22,-7.0,0.42021276595744683,0.20212765957446807,12.781186094069529
86,BKN,4/23/19,BKN @ PHI,L,240,100,36,93,38.7,9,31,29.0,19,25,76.0,9,32,41,26,10,4,14,13,-22.0,0.43548387096774194,0.26881720430107525,11.864406779661017
88,OKC,4/23/19,OKC @ POR,L,239,115,47,86,54.7,12,27,44.4,9,15,60.0,6,33,39,24,4,8,15,22,-9.0,0.6162790697674418,0.1744186046511628,13.940520446096654
89,ORL,4/23/19,ORL @ TOR,L,240,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,16,21,-19.0,0.4397590361445783,0.37349397590361444,14.204545454545455
92,SAS,4/23/19,SAS @ DEN,L,240,90,37,90,41.1,7,24,29.2,9,15,60.0,10,32,42,17,6,3,7,20,-18.0,0.45,0.16666666666666666,6.756756756756757
95,HOU,4/22/19,HOU @ UTA,L,241,91,28,79,35.4,17,46,37.0,18,24,75.0,9,26,35,14,9,4,15,23,-16.0,0.4620253164556962,0.3037974683544304,14.345830145371078
96,MIL,4/22/19,MIL @ DET,W,240,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,6,10,17,21,23.0,0.6075949367088608,0.5189873417721519,14.907050157839356
98,BOS,4/21/19,BOS @ IND,W,240,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,16,23,4.0,0.532051282051282,0.4358974358974359,14.684287812041113
99,GSW,4/21/19,GSW @ LAC,W,239,113,42,89,47.2,12,31,38.7,17,19,89.5,11,38,49,27,5,2,13,27,8.0,0.5393258426966292,0.21348314606741572,11.779630300833634
104,POR,4/21/19,POR @ OKC,W,242,111,37,90,41.1,15,35,42.9,22,23,95.7,8,41,49,16,10,8,12,22,13.0,0.49444444444444446,0.25555555555555554,10.702818408847662
105,TOR,4/21/19,TOR @ ORL,W,241,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,22.0,0.6066666666666667,0.24,14.444903012794057
107,DEN,4/20/19,DEN @ SAS,W,239,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,7,22,14.0,0.5337078651685393,0.2696629213483146,6.569069069069069
109,HOU,4/20/19,HOU @ UTA,W,240,104,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,3.0,0.47093023255813954,0.3953488372093023,11.407511407511407
110,MIL,4/20/19,MIL @ DET,W,240,119,42,86,48.8,14,38,36.8,21,24,87.5,13,38,51,24,5,6,15,22,16.0,0.5697674418604651,0.27906976744186046,13.445679455001795
111,PHI,4/20/19,PHI @ BKN,W,239,112,44,88,50.0,8,26,30.8,16,21,76.2,12,44,56,25,6,8,19,24,4.0,0.5454545454545454,0.23863636363636365,16.345492085340677
114,BOS,4/19/19,BOS @ IND,W,239,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,8.0,0.5617283950617284,0.2716049382716049,12.53858024691358
118,POR,4/19/19,POR @ OKC,L,241,108,39,83,47.0,12,31,38.7,18,24,75.0,12,29,41,18,5,1,18,33,-12.0,0.5421686746987951,0.2891566265060241,16.134815346002153
119,TOR,4/19/19,TOR @ ORL,W,239,98,39,87,44.8,11,28,39.3,9,10,90.0,8,35,43,26,9,3,13,23,5.0,0.5114942528735632,0.11494252873563218,12.452107279693486
121,DEN,4/18/19,DEN @ SAS,L,241,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,-10.0,0.6111111111111112,0.20987654320987653,12.810405991328341
122,GSW,4/18/19,GSW @ LAC,W,242,132,51,93,54.8,15,35,42.9,15,18,83.3,10,40,50,35,4,11,12,28,27.0,0.6290322580645161,0.1935483870967742,10.626992561105206
124,PHI,4/18/19,PHI @ BKN,W,240,131,45,94,47.9,11,27,40.7,30,35,85.7,15,39,54,26,9,5,16,29,16.0,0.5372340425531915,0.3723404255319149,12.759170653907494
127,DET,4/17/19,DET @ MIL,L,240,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,5,7,8,21,-21.0,0.43434343434343436,0.1717171717171717,6.988120195667364
129,IND,4/17/19,IND @ BOS,L,241,91,36,81,44.4,13,34,38.2,6,10,60.0,4,32,36,23,11,3,11,16,-8.0,0.5246913580246914,0.12345679012345678,11.410788381742739
131,UTA,4/17/19,UTA @ HOU,L,241,98,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,-20.0,0.4387755102040816,0.1836734693877551,10.176390773405698
133,OKC,4/16/19,OKC @ POR,L,240,94,35,86,40.7,5,28,17.9,19,28,67.9,13,34,47,21,6,6,16,27,-20.0,0.436046511627907,0.32558139534883723,13.995801259622114
134,ORL,4/16/19,ORL @ TOR,L,241,82,30,81,37.0,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,-29.0,0.42592592592592593,0.2962962962962963,15.65954310980103
136,SAS,4/16/19,SAS @ DEN,L,239,105,39,86,45.3,5,18,27.8,22,25,88.0,11,39,50,20,3,3,10,20,-9.0,0.48255813953488375,0.29069767441860467,9.345794392523365
138,BKN,4/15/19,BKN @ PHI,L,239,123,43,90,47.8,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,-22.0,0.5611111111111111,0.32222222222222224,11.99040767386091
140,LAC,4/15/19,LAC @ GSW,W,241,135,48,85,56.5,14,31,45.2,25,31,80.6,8,26,34,34,14,1,19,33,4.0,0.6470588235294118,0.36470588235294116,16.150969058143488
143,DET,4/14/19,DET @ MIL,L,241,86,35,92,38.0,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,-35.0,0.42391304347826086,0.14130434782608695,11.741329479768787
145,IND,4/14/19,IND @ BOS,L,242,74,28,84,33.3,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,-10.0,0.36904761904761907,0.25,12.236445783132531
147,OKC,4/14/19,OKC @ POR,L,240,99,37,93,39.8,5,33,15.2,20,23,87.0,18,31,49,18,10,4,16,26,-5.0,0.42473118279569894,0.24731182795698925,13.431833445265278
149,UTA,4/14/19,UTA @ HOU,L,239,90,30,77,39.0,7,27,25.9,23,27,85.2,7,34,41,17,6,2,18,20,-32.0,0.43506493506493504,0.35064935064935066,16.84131736526946
150,BKN,4/13/19,BKN @ PHI,W,241,111,38,88,43.2,11,26,42.3,24,26,92.3,10,35,45,15,9,2,11,27,9.0,0.4943181818181818,0.29545454545454547,9.9601593625498
153,LAC,4/13/19,LAC @ GSW,L,241,104,38,95,40.0,11,30,36.7,17,22,77.3,7,33,40,24,10,7,16,22,-17.0,0.45789473684210524,0.23157894736842105,13.25820351342393
154,ORL,4/13/19,ORL @ TOR,W,241,104,36,90,40.0,14,29,48.3,18,20,90.0,10,38,48,19,9,4,11,19,3.0,0.4777777777777778,0.2222222222222222,10.018214936247723
156,SAS,4/13/19,SAS @ DEN,W,240,101,40,83,48.2,7,15,46.7,14,20,70.0,10,37,47,20,4,4,11,17,5.0,0.5240963855421686,0.24096385542168675,10.700389105058367
