,PTS,FGM,FGA,FGPerc,3PM,3PA,3PPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFGPerc,FTR,Target
0,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,0.46153846153846156,0.32967032967032966,0
1,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,0.6280487804878049,0.25609756097560976,1
2,109,38,82,46.3,13,34,38.2,20,23,87,6,36,42,34,7,5,15,26,0.5426829268292683,0.2804878048780488,1
3,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,0.4308510638297872,0.2765957446808511,0
4,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,0.5128205128205128,0.3974358974358974,0
5,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,0.5909090909090909,0.4155844155844156,1
6,94,30,75,40,12,34,35.3,22,31,71,12,30,42,19,7,7,11,22,0.48,0.41333333333333333,0
7,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,0.5675675675675675,0.2972972972972973,1
8,99,38,84,45.2,10,31,32.3,13,18,72.2,8,45,53,26,2,2,11,22,0.5119047619047619,0.21428571428571427,0
9,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,0.47619047619047616,0.36904761904761907,1
10,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,0.53125,0.325,0
11,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,0.5517241379310345,0.3103448275862069,1
12,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,0.5252525252525253,0.1919191919191919,1
13,117,47,98,48,16,41,39,7,10,70,6,32,38,31,5,6,12,15,0.5612244897959183,0.10204081632653061,0
14,112,38,102,37.3,14,44,31.8,22,33,66.7,13,50,63,22,14,5,20,30,0.4411764705882353,0.3235294117647059,0
15,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,0.47549019607843135,0.2549019607843137,1
16,110,41,84,48.8,8,26,30.8,20,23,87,7,42,49,27,9,5,13,24,0.5357142857142857,0.27380952380952384,1
17,99,34,85,40,11,35,31.4,20,33,60.6,10,31,41,22,9,3,11,23,0.4647058823529412,0.38823529411764707,0
18,125,43,92,46.7,13,41,31.7,26,35,74.3,11,42,53,27,6,4,7,26,0.5380434782608695,0.3804347826086957,1
19,103,37,87,42.5,10,32,31.3,19,25,76,6,34,40,19,3,6,13,30,0.4827586206896552,0.28735632183908044,0
20,114,42,82,51.2,9,29,31,21,27,77.8,12,38,50,30,4,9,16,21,0.5670731707317073,0.32926829268292684,1
21,111,38,86,44.2,18,39,46.2,17,18,94.4,10,27,37,23,8,1,13,22,0.5465116279069767,0.20930232558139536,0
22,108,37,93,39.8,11,44,25,23,27,85.2,15,45,60,21,8,11,12,16,0.45698924731182794,0.2903225806451613,1
23,100,34,92,37,15,42,35.7,17,20,85,8,38,46,17,9,4,12,21,0.45108695652173914,0.21739130434782608,0
24,116,42,84,50,17,33,51.5,15,18,83.3,11,31,42,30,13,8,14,24,0.6011904761904762,0.21428571428571427,1
25,94,30,83,36.1,7,28,25,27,31,87.1,16,31,47,21,5,5,21,16,0.4036144578313253,0.37349397590361444,0
26,96,33,89,37.1,2,19,10.5,28,39,71.8,13,38,51,15,1,9,5,23,0.38202247191011235,0.43820224719101125,0
27,90,28,65,43.1,9,27,33.3,25,30,83.3,5,36,41,16,4,7,15,21,0.5,0.46153846153846156,0
28,100,38,93,40.9,4,26,15.4,20,24,83.3,12,43,55,16,5,7,4,31,0.43010752688172044,0.25806451612903225,1
29,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,0.42134831460674155,0.21348314606741572,1
30,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,0.5882352941176471,0.27058823529411763,1
31,113,42,89,47.2,17,39,43.6,12,17,70.6,12,28,40,21,9,1,15,22,0.5674157303370787,0.19101123595505617,0
32,108,33,86,38.4,12,32,37.5,30,32,93.8,16,28,44,22,7,3,6,23,0.45348837209302323,0.37209302325581395,0
33,112,41,89,46.1,10,28,35.7,20,26,76.9,16,36,52,27,5,3,18,22,0.5168539325842697,0.29213483146067415,1
34,119,41,89,46.1,15,33,45.5,22,30,73.3,11,32,43,18,4,5,9,20,0.5449438202247191,0.33707865168539325,1
35,101,35,81,43.2,9,36,25,22,29,75.9,9,25,34,25,9,4,12,24,0.4876543209876543,0.35802469135802467,0
36,91,29,93,31.2,7,39,17.9,26,34,76.5,12,36,48,19,9,1,14,18,0.34946236559139787,0.3655913978494624,0
37,104,39,85,45.9,13,37,35.1,13,18,72.2,12,30,42,28,6,1,15,19,0.5352941176470588,0.21176470588235294,1
38,99,33,79,41.8,12,41,29.3,21,24,87.5,8,31,39,19,10,3,15,20,0.4936708860759494,0.3037974683544304,0
39,116,42,94,44.7,15,47,31.9,17,22,77.3,12,46,58,27,8,7,16,23,0.526595744680851,0.23404255319148937,1
40,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,0.5393258426966292,0.34831460674157305,1
41,89,33,79,41.8,6,24,25,17,20,85,5,32,37,19,6,5,19,26,0.45569620253164556,0.25316455696202533,0
42,98,36,98,36.7,10,37,27,16,30,53.3,13,30,43,19,6,5,6,23,0.41836734693877553,0.30612244897959184,0
43,125,40,82,48.8,16,40,40,29,33,87.9,6,36,42,22,12,2,10,18,0.5853658536585366,0.4024390243902439,1
44,101,34,90,37.8,9,41,22,24,30,80,9,42,51,25,3,5,10,20,0.42777777777777776,0.3333333333333333,0
45,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,0.5111111111111111,0.25555555555555554,0
46,112,39,89,43.8,17,50,34,17,24,70.8,13,37,50,18,6,6,13,23,0.5337078651685393,0.2696629213483146,1
47,113,44,100,44,8,37,21.6,17,25,68,11,45,56,25,4,5,7,25,0.48,0.25,1
48,116,40,92,43.5,11,25,44,25,28,89.3,17,28,45,21,7,4,8,22,0.4945652173913043,0.30434782608695654,1
49,96,33,82,40.2,12,38,31.6,18,25,72,11,32,43,22,8,6,12,23,0.47560975609756095,0.3048780487804878,0
50,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,0.5487804878048781,0.34146341463414637,0
51,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,0.5263157894736842,0.34210526315789475,1
52,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,0.5157894736842106,0.30526315789473685,0
53,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,4,6,13,24,0.5806451612903226,0.27956989247311825,1
54,116,35,81,43.2,16,40,40,30,32,93.8,6,38,44,24,9,3,17,27,0.5308641975308642,0.3950617283950617,0
55,137,54,119,45.4,15,42,35.7,14,20,70,24,42,66,28,11,8,20,27,0.5168067226890757,0.16806722689075632,0
56,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,0.5963855421686747,0.43373493975903615,1
57,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,13,5,13,24,0.46774193548387094,0.22580645161290322,1
58,116,43,84,51.2,10,23,43.5,20,23,87,9,36,45,29,4,8,13,17,0.5714285714285714,0.27380952380952384,1
59,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,0.463855421686747,0.27710843373493976,0
60,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,0.37755102040816324,0.2653061224489796,0
61,97,36,85,42.4,9,29,31,16,20,80,7,40,47,18,5,6,10,22,0.4764705882352941,0.23529411764705882,1
62,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,0.45348837209302323,0.313953488372093,0
63,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,0.521978021978022,0.26373626373626374,1
64,109,36,77,46.8,17,40,42.5,20,25,80,10,31,41,17,5,2,17,21,0.577922077922078,0.3246753246753247,0
65,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,11,24,0.5568181818181818,0.3522727272727273,1
66,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,12,22,0.5802469135802469,0.38271604938271603,1
67,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,19,18,0.4605263157894737,0.34210526315789475,1
68,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,0.5886075949367089,0.34177215189873417,0
69,89,33,90,36.7,10,37,27,13,15,86.7,9,27,36,20,10,4,10,22,0.4222222222222222,0.16666666666666666,0
70,112,47,87,54,13,31,41.9,5,8,62.5,3,48,51,25,5,11,11,21,0.6149425287356322,0.09195402298850575,1
71,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,0.5533333333333333,0.36,1
72,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,14,3,14,21,0.5135135135135135,0.3918918918918919,0
73,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,10,11,0.42134831460674155,0.2696629213483146,0
74,90,35,88,39.8,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,0.4090909090909091,0.26136363636363635,1
75,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,14,21,0.4550561797752809,0.23595505617977527,0
76,86,31,85,36.5,6,23,26.1,18,20,90,8,37,45,19,3,5,6,20,0.4,0.23529411764705882,0
77,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,0.5759493670886076,0.3037974683544304,1
78,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,0.5842696629213483,0.34831460674157305,1
79,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,7,5,14,26,0.453125,0.2916666666666667,0
80,103,44,96,45.8,6,24,25,9,12,75,12,25,37,26,5,3,7,18,0.4895833333333333,0.125,0
81,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,7,17,0.6309523809523809,0.20238095238095238,1
82,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,0.5260416666666666,0.22916666666666666,0
83,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,0.5246913580246914,0.2716049382716049,1
84,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,3,1,10,23,0.6176470588235294,0.3058823529411765,1
85,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,15,22,0.42021276595744683,0.20212765957446807,0
86,100,36,93,38.7,9,31,29,19,25,76,9,32,41,26,10,4,14,13,0.43548387096774194,0.26881720430107525,0
87,108,39,78,50,14,33,42.4,16,20,80,7,42,49,25,4,6,13,21,0.5897435897435898,0.2564102564102564,1
88,115,47,86,54.7,12,27,44.4,9,15,60,6,33,39,24,4,8,15,22,0.6162790697674418,0.1744186046511628,0
89,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,16,21,0.4397590361445783,0.37349397590361444,0
90,122,51,100,51,14,33,42.4,6,9,66.7,11,45,56,35,10,3,19,21,0.58,0.09,1
91,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,8,5,9,18,0.5364583333333334,0.23958333333333334,1
92,90,37,90,41.1,7,24,29.2,9,15,60,10,32,42,17,6,3,7,20,0.45,0.16666666666666666,0
93,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,0.5705882352941176,0.24705882352941178,1
94,104,41,100,41,13,34,38.2,9,12,75,10,26,36,26,8,1,10,31,0.475,0.12,0
95,91,28,79,35.4,17,46,37,18,24,75,9,26,35,14,9,4,15,23,0.4620253164556962,0.3037974683544304,0
96,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,6,10,17,21,0.6075949367088608,0.5189873417721519,1
97,107,37,86,43,11,35,31.4,22,26,84.6,16,36,52,24,7,7,14,19,0.4941860465116279,0.3023255813953488,1
98,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,16,23,0.532051282051282,0.4358974358974359,1
99,113,42,89,47.2,12,31,38.7,17,19,89.5,11,38,49,27,5,2,13,27,0.5393258426966292,0.21348314606741572,1
100,106,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,0.4659090909090909,0.3181818181818182,0
101,105,34,80,42.5,13,31,41.9,24,32,75,4,29,33,22,8,4,10,21,0.50625,0.4,0
102,98,33,88,37.5,15,40,37.5,17,22,77.3,6,38,44,23,7,4,14,22,0.4602272727272727,0.25,0
103,85,34,81,42,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,0.46296296296296297,0.16049382716049382,0
104,111,37,90,41.1,15,35,42.9,22,23,95.7,8,41,49,16,10,8,12,22,0.49444444444444446,0.25555555555555554,1
105,107,40,75,53.3,11,28,39.3,16,18,88.9,7,38,45,23,11,6,14,20,0.6066666666666667,0.24,1
106,108,36,90,40,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,0.4666666666666667,0.34444444444444444,0
107,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,7,22,0.5337078651685393,0.2696629213483146,1
108,103,37,96,38.5,11,36,30.6,18,24,75,15,29,44,21,9,6,9,24,0.4427083333333333,0.25,0
109,104,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,0.47093023255813954,0.3953488372093023,1
110,119,42,86,48.8,14,38,36.8,21,24,87.5,13,38,51,24,5,6,15,22,0.5697674418604651,0.27906976744186046,1
111,112,44,88,50,8,26,30.8,16,21,76.2,12,44,56,25,6,8,19,24,0.5454545454545454,0.23863636363636365,1
112,103,37,79,46.8,5,17,29.4,24,32,75,11,35,46,23,4,4,9,22,0.5,0.4050632911392405,0
113,101,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,0.4935064935064935,0.4935064935064935,0
114,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,0.5617283950617284,0.2716049382716049,1
115,96,34,81,42,11,30,36.7,17,23,73.9,8,32,40,20,9,4,9,19,0.4876543209876543,0.2839506172839506,0
116,120,37,77,48.1,15,29,51.7,31,39,79.5,8,29,37,27,6,5,15,24,0.577922077922078,0.5064935064935064,1
117,93,29,80,36.3,13,44,29.5,22,23,95.7,7,35,42,19,8,5,16,17,0.44375,0.2875,0
118,108,39,83,47,12,31,38.7,18,24,75,12,29,41,18,5,1,18,33,0.5421686746987951,0.2891566265060241,0
119,98,39,87,44.8,11,28,39.3,9,10,90,8,35,43,26,9,3,13,23,0.5114942528735632,0.11494252873563218,1
120,115,39,96,40.6,8,39,20.5,29,35,82.9,13,30,43,12,6,2,15,24,0.4479166666666667,0.3645833333333333,0
121,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,0.6111111111111112,0.20987654320987653,0
122,132,51,93,54.8,15,35,42.9,15,18,83.3,10,40,50,35,4,11,12,28,0.6290322580645161,0.1935483870967742,1
123,105,35,94,37.2,7,32,21.9,28,34,82.4,16,27,43,21,6,2,12,25,0.4095744680851064,0.3617021276595745,0
124,131,45,94,47.9,11,27,40.7,30,35,85.7,15,39,54,26,9,5,16,29,0.5372340425531915,0.3723404255319149,1
125,118,44,89,49.4,7,18,38.9,23,32,71.9,15,30,45,24,9,2,6,20,0.5337078651685393,0.3595505617977528,1
126,99,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,0.5416666666666666,0.10714285714285714,1
127,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,5,7,8,21,0.43434343434343436,0.1717171717171717,0
128,118,38,80,47.5,17,42,40.5,25,30,83.3,8,38,46,17,8,9,18,18,0.58125,0.375,1
129,91,36,81,44.4,13,34,38.2,6,10,60,4,32,36,23,11,3,11,16,0.5246913580246914,0.12345679012345678,0
130,120,47,90,52.2,11,26,42.3,15,21,71.4,8,46,54,32,5,11,12,21,0.5833333333333334,0.23333333333333334,1
131,98,39,98,39.8,8,38,21.1,12,18,66.7,15,33,48,27,16,3,12,26,0.4387755102040816,0.1836734693877551,0
132,114,43,89,48.3,10,24,41.7,18,26,69.2,7,34,41,29,5,2,5,21,0.5393258426966292,0.29213483146067415,1
133,94,35,86,40.7,5,28,17.9,19,28,67.9,13,34,47,21,6,6,16,27,0.436046511627907,0.32558139534883723,0
134,82,30,81,37,9,34,26.5,13,24,54.2,12,33,45,17,2,4,17,18,0.42592592592592593,0.2962962962962963,0
135,114,42,90,46.7,13,32,40.6,17,21,81,7,37,44,17,9,6,12,27,0.5388888888888889,0.23333333333333334,1
136,105,39,86,45.3,5,18,27.8,22,25,88,11,39,50,20,3,3,10,20,0.48255813953488375,0.29069767441860467,0
137,111,42,87,48.3,11,35,31.4,16,17,94.1,6,36,42,25,10,5,7,23,0.5459770114942529,0.19540229885057472,1
138,123,43,90,47.8,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,0.5611111111111111,0.32222222222222224,0
139,131,40,75,53.3,11,28,39.3,40,45,88.9,7,31,38,31,11,6,22,31,0.6066666666666667,0.6,0
140,135,48,85,56.5,14,31,45.2,25,31,80.6,8,26,34,34,14,1,19,33,0.6470588235294118,0.36470588235294116,1
141,145,55,98,56.1,9,23,39.1,26,32,81.3,15,34,49,29,8,3,12,23,0.6071428571428571,0.32653061224489793,1
142,84,28,77,36.4,10,28,35.7,18,22,81.8,7,48,55,18,8,2,17,20,0.42857142857142855,0.2857142857142857,1
143,86,35,92,38,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,0.42391304347826086,0.14130434782608695,0
144,122,48,95,50.5,15,41,36.6,11,12,91.7,8,34,42,25,6,6,10,20,0.5842105263157895,0.12631578947368421,1
145,74,28,84,33.3,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,0.36904761904761907,0.25,0
146,121,44,90,48.9,15,43,34.9,18,26,69.2,8,46,54,31,7,8,10,16,0.5722222222222222,0.28888888888888886,1
147,99,37,93,39.8,5,33,15.2,20,23,87,18,31,49,18,10,4,16,26,0.42473118279569894,0.24731182795698925,0
148,104,36,86,41.9,11,25,44,21,27,77.8,13,35,48,14,8,9,18,17,0.48255813953488375,0.313953488372093,1
149,90,30,77,39,7,27,25.9,23,27,85.2,7,34,41,17,6,2,18,20,0.43506493506493504,0.35064935064935066,0
150,111,38,88,43.2,11,26,42.3,24,26,92.3,10,35,45,15,9,2,11,27,0.4943181818181818,0.29545454545454547,1
151,96,37,88,42,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,0.45454545454545453,0.2727272727272727,0
152,121,45,92,48.9,14,30,46.7,17,20,85,12,42,54,31,9,14,21,22,0.5652173913043478,0.21739130434782608,1
153,104,38,95,40,11,30,36.7,17,22,77.3,7,33,40,24,10,7,16,22,0.45789473684210524,0.23157894736842105,0
154,104,36,90,40,14,29,48.3,18,20,90,10,38,48,19,9,4,11,19,0.4777777777777778,0.2222222222222222,1
155,102,35,86,40.7,3,25,12,29,42,69,16,34,50,20,6,11,13,24,0.42441860465116277,0.4883720930232558,0
156,101,40,83,48.2,7,15,46.7,14,20,70,10,37,47,20,4,4,11,17,0.5240963855421686,0.24096385542168675,1
157,101,40,88,45.5,12,36,33.3,9,14,64.3,6,39,45,23,4,4,12,19,0.5227272727272727,0.1590909090909091,0
158,134,43,103,41.7,17,41,41.5,31,38,81.6,22,39,61,29,5,7,17,25,0.5,0.36893203883495146,0
