,key_0,key_1,H_TEAM,DATE_x,MATCHUP_x,W/L,MIN,H_PTS,H_FGM,H_FGA,H_FGPerc,H_3PM,H_3PA,H_ThreePPerc,H_FTM,H_FTA,H_FTPerc,H_OREB,H_DREB,H_REB,H_AST,H_STL,H_BLK,H_TOV,H_PF,H_+/,H_EFGPerc,H_FTR,H_TOVPerc,Away_Team_x,A_TEAM,DATE_y,MATCHUP_y,A_W/L,A_MIN,A_PTS,A_FGM,A_FGA,A_FGPerc,A_3PM,A_3PA,A_ThreePPerc,A_FTM,A_FTA,A_FTPerc,A_OREB,A_DREB,A_REB,A_AST,A_STL,A_BLK,A_TOV,A_PF,A_+/,A_EFGPerc,A_FTR,A_TOVPerc,Away_Team_y
0,6/5/19,TOR,GSW,6/5/19,GSW vs. TOR,L,241,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,-14.0,0.4615384615384616,0.3296703296703297,11.844331641285956,TOR,TOR,6/5/19,TOR @ GSW,W,239,123,43,82,52.4,17,38,44.7,20,21,95.2,5,35,40,30,9,10,14,22,14.0,0.6280487804878049,0.25609756097560976,13.302926643861651,TOR
1,6/2/19,GSW,TOR,6/2/19,TOR vs. GSW,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5.0,0.4308510638297872,0.2765957446808511,12.454334108269679,GSW,GSW,6/2/19,GSW @ TOR,W,240,109,38,82,46.3,13,34,38.2,20,23,87.0,6,36,42,34,7,5,15,26,5.0,0.5426829268292683,0.2804878048780488,14.00298730395818,GSW
2,5/30/19,GSW,TOR,5/30/19,TOR vs. GSW,W,241,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9.0,0.5909090909090909,0.4155844155844156,9.893153937475267,GSW,GSW,5/30/19,GSW @ TOR,L,239,109,34,78,43.6,12,31,38.7,29,31,93.5,9,29,38,29,6,2,16,27,-9.0,0.5128205128205128,0.3974358974358974,14.864362690449648,GSW
3,5/25/19,MIL,TOR,5/25/19,TOR vs. MIL,W,239,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6.0,0.5675675675675675,0.2972972972972973,10.67463706233988,MIL,MIL,5/25/19,MIL @ TOR,L,240,94,30,75,40.0,12,34,35.3,22,31,71.0,12,30,42,19,7,7,11,22,-6.0,0.48,0.4133333333333333,11.039743075070255,MIL
4,5/23/19,TOR,MIL,5/23/19,MIL vs. TOR,L,240,99,38,84,45.2,10,31,32.3,13,18,72.2,8,45,53,26,2,2,11,22,-6.0,0.5119047619047619,0.21428571428571427,10.687912942090943,TOR,TOR,5/23/19,TOR @ MIL,W,240,105,31,84,36.9,18,43,41.9,25,31,80.6,10,35,45,19,6,4,6,16,6.0,0.4761904761904762,0.3690476190476191,5.78927055191046,TOR
5,5/21/19,MIL,TOR,5/21/19,TOR vs. MIL,W,239,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18.0,0.5517241379310345,0.3103448275862069,10.010921004732436,MIL,MIL,5/21/19,MIL @ TOR,L,241,102,37,80,46.3,11,35,31.4,17,26,65.4,7,33,40,30,8,7,12,22,-18.0,0.53125,0.325,11.600928074245939,MIL
6,5/20/19,GSW,POR,5/20/19,POR vs. GSW,L,265,117,47,98,48.0,16,41,39.0,7,10,70.0,6,32,38,31,5,6,12,15,-2.0,0.5612244897959183,0.1020408163265306,10.48951048951049,GSW,GSW,5/20/19,GSW @ POR,W,264,119,46,99,46.5,12,39,30.8,15,19,78.9,15,41,56,30,10,5,15,17,2.0,0.5252525252525253,0.1919191919191919,12.258908139915006,GSW
7,5/19/19,MIL,TOR,5/19/19,TOR vs. MIL,W,290,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6.0,0.4754901960784314,0.2549019607843137,13.032812020852498,MIL,MIL,5/19/19,MIL @ TOR,L,291,112,38,102,37.3,14,44,31.8,22,33,66.7,13,50,63,22,14,5,20,30,-6.0,0.4411764705882353,0.3235294117647059,14.64986815118664,MIL
8,5/18/19,GSW,POR,5/18/19,POR vs. GSW,L,239,99,34,85,40.0,11,35,31.4,20,33,60.6,10,31,41,22,9,3,11,23,-11.0,0.4647058823529412,0.3882352941176471,9.952949692363372,GSW,GSW,5/18/19,GSW @ POR,W,239,110,41,84,48.8,8,26,30.8,20,23,87.0,7,42,49,27,9,5,13,24,11.0,0.5357142857142857,0.27380952380952384,12.135922330097088,GSW
9,5/17/19,TOR,MIL,5/17/19,MIL vs. TOR,W,240,125,43,92,46.7,13,41,31.7,26,35,74.3,11,42,53,27,6,4,7,26,22.0,0.5380434782608695,0.3804347826086957,6.118881118881117,TOR,TOR,5/17/19,TOR @ MIL,L,240,103,37,87,42.5,10,32,31.3,19,25,76.0,6,34,40,19,3,6,13,30,-22.0,0.4827586206896552,0.28735632183908044,11.711711711711711,TOR
10,5/16/19,POR,GSW,5/16/19,GSW vs. POR,W,242,114,42,82,51.2,9,29,31.0,21,27,77.8,12,38,50,30,4,9,16,21,3.0,0.5670731707317073,0.32926829268292684,14.561339643247178,POR,POR,5/16/19,POR @ GSW,L,241,111,38,86,44.2,18,39,46.2,17,18,94.4,10,27,37,23,8,1,13,22,-3.0,0.5465116279069767,0.20930232558139536,12.158623269734381,POR
11,5/15/19,TOR,MIL,5/15/19,MIL vs. TOR,W,241,108,37,93,39.8,11,44,25.0,23,27,85.2,15,45,60,21,8,11,12,16,8.0,0.456989247311828,0.2903225806451613,10.26694045174538,TOR,TOR,5/15/19,TOR @ MIL,L,239,100,34,92,37.0,15,42,35.7,17,20,85.0,8,38,46,17,9,4,12,21,-8.0,0.4510869565217392,0.21739130434782608,10.638297872340424,TOR
12,5/14/19,POR,GSW,5/14/19,GSW vs. POR,W,240,116,42,84,50.0,17,33,51.5,15,18,83.3,11,31,42,30,13,8,14,24,22.0,0.6011904761904762,0.21428571428571427,13.217522658610273,POR,POR,5/14/19,POR @ GSW,L,242,94,30,83,36.1,7,28,25.0,27,31,87.1,16,31,47,21,5,5,21,16,-22.0,0.4036144578313253,0.3734939759036144,17.851071064263856,POR
13,5/12/19,POR,DEN,5/12/19,DEN vs. POR,L,240,96,33,89,37.1,2,19,10.5,28,39,71.8,13,38,51,15,1,9,5,23,-4.0,0.3820224719101124,0.4382022471910113,4.49802087081684,POR,POR,5/12/19,POR @ DEN,W,239,100,38,93,40.9,4,26,15.4,20,24,83.3,12,43,55,16,5,7,4,31,4.0,0.4301075268817205,0.25806451612903225,3.7188545927854215,POR
14,5/12/19,PHI,TOR,5/12/19,TOR vs. PHI,W,239,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,2.0,0.4213483146067416,0.21348314606741567,9.314456035767511,PHI,PHI,5/12/19,PHI @ TOR,L,239,90,28,65,43.1,9,27,33.3,25,30,83.3,5,36,41,16,4,7,15,21,-2.0,0.5,0.4615384615384616,16.09442060085837,PHI
15,5/10/19,GSW,HOU,5/10/19,HOU vs. GSW,L,240,113,42,89,47.2,17,39,43.6,12,17,70.6,12,28,40,21,9,1,15,22,-5.0,0.5674157303370787,0.19101123595505615,13.455328310010765,GSW,GSW,5/10/19,GSW @ HOU,W,241,118,42,85,49.4,16,38,42.1,18,23,78.3,10,25,35,25,9,7,17,19,5.0,0.5882352941176471,0.27058823529411763,15.162326079200854,GSW
16,5/9/19,TOR,PHI,5/9/19,PHI vs. TOR,W,243,112,41,89,46.1,10,28,35.7,20,26,76.9,16,36,52,27,5,3,18,22,11.0,0.5168539325842697,0.2921348314606741,15.19756838905775,TOR,TOR,5/9/19,TOR @ PHI,L,242,101,35,81,43.2,9,36,25.0,22,29,75.9,9,25,34,25,9,4,12,24,-11.0,0.4876543209876543,0.3580246913580247,11.346444780635402,TOR
17,5/9/19,DEN,POR,5/9/19,POR vs. DEN,W,241,119,41,89,46.1,15,33,45.5,22,30,73.3,11,32,43,18,4,5,9,20,11.0,0.5449438202247191,0.33707865168539325,8.093525179856115,DEN,DEN,5/9/19,DEN @ POR,L,240,108,33,86,38.4,12,32,37.5,30,32,93.8,16,28,44,22,7,3,6,23,-11.0,0.4534883720930232,0.372093023255814,5.656108597285066,DEN
18,5/8/19,HOU,GSW,5/8/19,GSW vs. HOU,W,240,104,39,85,45.9,13,37,35.1,13,18,72.2,12,30,42,28,6,1,15,19,5.0,0.5352941176470588,0.21176470588235294,13.899184581171234,HOU,HOU,5/8/19,HOU @ GSW,L,239,99,33,79,41.8,12,41,29.3,21,24,87.5,8,31,39,19,10,3,15,20,-5.0,0.4936708860759494,0.3037974683544304,14.345830145371076,HOU
19,5/8/19,BOS,MIL,5/8/19,MIL vs. BOS,W,240,116,42,94,44.7,15,47,31.9,17,22,77.3,12,46,58,27,8,7,16,23,25.0,0.526595744680851,0.23404255319148934,13.36898395721925,BOS,BOS,5/8/19,BOS @ MIL,L,240,91,29,93,31.2,7,39,17.9,26,34,76.5,12,36,48,19,9,1,14,18,-25.0,0.3494623655913979,0.3655913978494624,11.479173499508034,BOS
20,5/7/19,POR,DEN,5/7/19,DEN vs. POR,W,239,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,26.0,0.5393258426966292,0.34831460674157305,7.230657989877079,POR,POR,5/7/19,POR @ DEN,L,239,98,36,98,36.7,10,37,27.0,16,30,53.3,13,30,43,19,6,5,6,23,-26.0,0.4183673469387755,0.30612244897959184,5.119453924914676,POR
21,5/7/19,PHI,TOR,5/7/19,TOR vs. PHI,W,240,125,40,82,48.8,16,40,40.0,29,33,87.9,6,36,42,22,12,2,10,18,36.0,0.5853658536585366,0.4024390243902439,9.38790837401427,PHI,PHI,5/7/19,PHI @ TOR,L,240,89,33,79,41.8,6,24,25.0,17,20,85.0,5,32,37,19,6,5,19,26,-36.0,0.4556962025316456,0.2531645569620253,17.790262172284642,PHI
22,5/6/19,MIL,BOS,5/6/19,BOS vs. MIL,L,240,101,34,90,37.8,9,41,22.0,24,30,80.0,9,42,51,25,3,5,10,20,-12.0,0.42777777777777776,0.3333333333333333,8.8339222614841,MIL,MIL,5/6/19,MIL @ BOS,W,239,113,44,100,44.0,8,37,21.6,17,25,68.0,11,45,56,25,4,5,7,25,12.0,0.48,0.25,5.932203389830509,MIL
23,5/6/19,GSW,HOU,5/6/19,HOU vs. GSW,W,239,112,39,89,43.8,17,50,34.0,17,24,70.8,13,37,50,18,6,6,13,23,4.0,0.5337078651685393,0.2696629213483146,11.549395877754085,GSW,GSW,5/6/19,GSW @ HOU,L,239,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4.0,0.5111111111111111,0.25555555555555554,9.89920806335493,GSW
24,5/5/19,TOR,PHI,5/5/19,PHI vs. TOR,L,239,96,33,82,40.2,12,38,31.6,18,25,72.0,11,32,43,22,8,6,12,23,-5.0,0.475609756097561,0.3048780487804878,11.428571428571427,TOR,TOR,5/5/19,TOR @ PHI,W,240,101,35,76,46.1,10,31,32.3,21,26,80.8,8,35,43,19,6,3,13,24,5.0,0.5263157894736842,0.34210526315789475,12.94305057745918,TOR
25,5/5/19,DEN,POR,5/5/19,POR vs. DEN,L,240,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,-4.0,0.5487804878048781,0.3414634146341464,12.92466765140325,DEN,DEN,5/5/19,DEN @ POR,W,241,116,40,92,43.5,11,25,44.0,25,28,89.3,17,28,45,21,7,4,8,22,4.0,0.4945652173913043,0.3043478260869565,7.1225071225071215,DEN
26,5/4/19,GSW,HOU,5/4/19,HOU vs. GSW,W,265,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,4,6,13,24,5.0,0.5806451612903226,0.27956989247311825,11.069482288828338,GSW,GSW,5/4/19,GSW @ HOU,L,266,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5.0,0.5157894736842106,0.30526315789473685,6.91085003455425,GSW
27,5/3/19,MIL,BOS,5/3/19,BOS vs. MIL,L,240,116,35,81,43.2,16,40,40.0,30,32,93.8,6,38,44,24,9,3,17,27,-7.0,0.5308641975308642,0.3950617283950617,15.167737330478227,MIL,MIL,5/3/19,MIL @ BOS,W,239,123,42,83,50.6,15,37,40.5,24,36,66.7,7,37,44,23,8,7,15,26,7.0,0.5963855421686747,0.43373493975903615,13.176387912860156,MIL
28,5/3/19,DEN,POR,5/3/19,POR vs. DEN,W,340,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,13,5,13,24,3.0,0.4677419354838709,0.2258064516129032,8.706134476292526,DEN,DEN,5/3/19,DEN @ POR,L,341,137,54,119,45.4,15,42,35.7,14,20,70.0,24,42,66,28,11,8,20,27,-3.0,0.5168067226890757,0.16806722689075632,13.531799729364007,DEN
29,5/2/19,TOR,PHI,5/2/19,PHI vs. TOR,W,239,116,43,84,51.2,10,23,43.5,20,23,87.0,9,36,45,29,4,8,13,17,21.0,0.5714285714285714,0.27380952380952384,12.135922330097088,TOR,TOR,5/2/19,TOR @ PHI,L,240,95,35,83,42.2,7,27,25.9,18,23,78.3,8,27,35,15,7,4,9,17,-21.0,0.463855421686747,0.27710843373493976,8.81316098707403,TOR
30,5/1/19,POR,DEN,5/1/19,DEN vs. POR,L,239,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7.0,0.3775510204081632,0.2653061224489796,7.598784194528875,POR,POR,5/1/19,POR @ DEN,W,241,97,36,85,42.4,9,29,31.0,16,20,80.0,7,40,47,18,5,6,10,22,7.0,0.4764705882352941,0.2352941176470588,9.633911368015415,POR
31,4/30/19,HOU,GSW,4/30/19,GSW vs. HOU,W,239,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,6.0,0.521978021978022,0.2637362637362637,10.567101091933779,HOU,HOU,4/30/19,HOU @ GSW,L,238,109,36,77,46.8,17,40,42.5,20,25,80.0,10,31,41,17,5,2,17,21,-6.0,0.577922077922078,0.3246753246753247,16.19047619047619,HOU
32,4/30/19,BOS,MIL,4/30/19,MIL vs. BOS,W,240,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,11,24,21.0,0.5568181818181818,0.3522727272727273,9.765625,BOS,BOS,4/30/19,BOS @ MIL,L,241,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21.0,0.4534883720930232,0.313953488372093,11.724386724386726,BOS
33,4/29/19,POR,DEN,4/29/19,DEN vs. POR,W,240,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,12,22,8.0,0.5802469135802469,0.382716049382716,11.252813203300825,POR,POR,4/29/19,POR @ DEN,L,239,113,41,79,51.9,11,29,37.9,20,27,74.1,9,31,40,20,6,5,18,24,-8.0,0.5886075949367089,0.34177215189873417,16.531961792799414,POR
34,4/29/19,PHI,TOR,4/29/19,TOR vs. PHI,L,240,89,33,90,36.7,10,37,27.0,13,15,86.7,9,27,36,20,10,4,10,22,-5.0,0.4222222222222222,0.16666666666666666,9.380863039399628,PHI,PHI,4/29/19,PHI @ TOR,W,240,94,30,76,39.5,10,35,28.6,24,26,92.3,9,43,52,22,5,4,19,18,5.0,0.4605263157894737,0.34210526315789475,17.85043216835776,PHI
35,4/28/19,HOU,GSW,4/28/19,GSW vs. HOU,W,239,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4.0,0.5533333333333333,0.36,18.712574850299397,HOU,HOU,4/28/19,HOU @ GSW,L,241,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,14,3,14,21,-4.0,0.5135135135135135,0.3918918918918919,13.89440254069075,HOU
36,4/28/19,BOS,MIL,4/28/19,MIL vs. BOS,L,238,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,10,11,-22.0,0.4213483146067416,0.2696629213483146,9.127418765972983,BOS,BOS,4/28/19,BOS @ MIL,W,241,112,47,87,54.0,13,31,41.9,5,8,62.5,3,48,51,25,5,11,11,21,22.0,0.6149425287356322,0.09195402298850576,10.83530338849488,BOS
37,4/27/19,SAS,DEN,4/27/19,DEN vs. SAS,W,239,90,35,88,39.8,2,20,10.0,18,23,78.3,13,40,53,21,3,8,6,19,4.0,0.4090909090909091,0.26136363636363635,5.7625816365731835,SAS,SAS,4/27/19,SAS @ DEN,L,240,86,31,85,36.5,6,23,26.1,18,20,90.0,8,37,45,19,3,5,6,20,-4.0,0.4,0.2352941176470588,6.012024048096192,SAS
38,4/27/19,PHI,TOR,4/27/19,TOR vs. PHI,W,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13.0,0.5759493670886076,0.3037974683544304,10.04419445560466,PHI,PHI,4/27/19,PHI @ TOR,L,240,95,35,89,39.3,11,32,34.4,14,21,66.7,13,34,47,23,5,2,14,21,-13.0,0.4550561797752809,0.2359550561797753,12.473271560940844,PHI
39,4/26/19,GSW,LAC,4/26/19,LAC vs. GSW,L,240,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,7,5,14,26,-19.0,0.453125,0.2916666666666667,11.445389143230873,GSW,GSW,4/26/19,GSW @ LAC,W,239,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,19.0,0.5842696629213483,0.34831460674157305,8.877840909090908,GSW
40,4/25/19,DEN,SAS,4/25/19,SAS vs. DEN,W,240,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,7,17,17.0,0.6309523809523809,0.2023809523809524,7.108042242079611,DEN,DEN,4/25/19,DEN @ SAS,L,241,103,44,96,45.8,6,24,25.0,9,12,75.0,12,25,37,26,5,3,7,18,-17.0,0.4895833333333333,0.125,6.464721093461398,DEN
41,4/24/19,LAC,GSW,4/24/19,GSW vs. LAC,L,240,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,-8.0,0.5260416666666666,0.22916666666666666,7.0372976776917655,LAC,LAC,4/24/19,LAC @ GSW,W,240,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,3,1,10,23,8.0,0.6176470588235294,0.3058823529411765,9.394964299135664,LAC
42,4/24/19,UTA,HOU,4/24/19,HOU vs. UTA,W,240,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,7.0,0.5246913580246914,0.2716049382716049,15.787518573551262,UTA,UTA,4/24/19,UTA @ HOU,L,240,93,35,94,37.2,9,38,23.7,14,19,73.7,14,33,47,26,8,4,15,22,-7.0,0.4202127659574468,0.20212765957446807,12.781186094069525,UTA
43,4/23/19,SAS,DEN,4/23/19,DEN vs. SAS,W,240,108,39,78,50.0,14,33,42.4,16,20,80.0,7,42,49,25,4,6,13,21,18.0,0.5897435897435898,0.2564102564102564,13.026052104208414,SAS,SAS,4/23/19,SAS @ DEN,L,240,90,37,90,41.1,7,24,29.2,9,15,60.0,10,32,42,17,6,3,7,20,-18.0,0.45,0.16666666666666666,6.756756756756758,SAS
44,4/23/19,BKN,PHI,4/23/19,PHI vs. BKN,W,240,122,51,100,51.0,14,33,42.4,6,9,66.7,11,45,56,35,10,3,19,21,22.0,0.58,0.09,15.452179570592065,BKN,BKN,4/23/19,BKN @ PHI,L,240,100,36,93,38.7,9,31,29.0,19,25,76.0,9,32,41,26,10,4,14,13,-22.0,0.4354838709677419,0.26881720430107525,11.864406779661017,BKN
45,4/23/19,OKC,POR,4/23/19,POR vs. OKC,W,240,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,8,5,9,18,3.0,0.5364583333333334,0.2395833333333333,7.8179291174426675,OKC,OKC,4/23/19,OKC @ POR,L,239,115,47,86,54.7,12,27,44.4,9,15,60.0,6,33,39,24,4,8,15,22,-9.0,0.6162790697674418,0.1744186046511628,13.940520446096654,OKC
46,4/23/19,ORL,TOR,4/23/19,TOR vs. ORL,W,240,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19.0,0.5705882352941176,0.24705882352941175,12.934220251293425,ORL,ORL,4/23/19,ORL @ TOR,L,240,96,32,83,38.6,9,34,26.5,23,31,74.2,12,36,48,20,7,5,16,21,-19.0,0.4397590361445783,0.3734939759036144,14.204545454545455,ORL
47,4/22/19,MIL,DET,4/22/19,DET vs. MIL,L,240,104,41,100,41.0,13,34,38.2,9,12,75.0,10,26,36,26,8,1,10,31,-23.0,0.475,0.12,8.674531575294935,MIL,MIL,4/22/19,MIL @ DET,W,240,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,6,10,17,21,23.0,0.6075949367088608,0.5189873417721519,14.907050157839356,MIL
