,Target
0,0
1,1
2,1
3,0
4,0
5,1
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,0
89,0
90,1
91,1
92,0
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,1
108,0
109,1
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,0
180,1
181,1
182,0
183,0
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,0
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,1
246,1
247,0
248,1
249,0
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,1
335,1
336,0
337,1
338,1
339,1
340,0
341,0
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,1
350,0
351,1
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,1
370,0
371,0
372,1
373,0
374,1
375,1
376,0
377,1
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,1
386,1
387,1
388,1
389,0
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,0
398,1
399,0
400,0
401,1
402,1
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,1
431,0
432,1
433,0
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,1
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,1
488,1
489,0
490,0
491,1
492,0
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,0
536,0
537,0
538,1
539,0
540,1
541,1
542,1
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,1
556,1
557,0
558,0
559,1
560,0
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,0
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,1
599,1
600,0
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,1
614,0
615,0
616,0
617,1
618,1
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,1
633,1
634,1
635,1
636,0
637,1
638,1
639,0
640,0
641,1
642,1
643,0
644,0
645,1
646,1
647,0
648,1
649,0
650,0
651,0
652,0
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,0
677,1
678,1
679,0
680,1
681,0
682,0
683,0
684,0
685,1
686,0
687,1
688,1
689,1
690,1
691,0
692,0
693,1
694,1
695,1
696,1
697,0
698,0
699,1
700,0
701,0
702,0
703,1
704,0
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,1
714,1
715,0
716,1
717,0
718,0
719,0
720,1
721,1
722,1
723,1
724,0
725,0
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,0
766,0
767,1
768,1
769,0
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,0
778,0
779,0
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,1
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,1
801,0
802,0
803,1
804,0
805,1
806,0
807,0
808,0
809,0
810,1
811,1
812,1
813,0
814,1
815,0
816,1
817,0
818,1
819,1
820,0
821,1
822,1
823,1
824,0
825,0
826,1
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,0
835,0
836,1
837,1
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,1
847,0
848,1
849,0
850,0
851,0
852,1
853,1
854,1
855,0
856,0
857,1
858,1
859,0
860,1
861,1
862,1
863,1
864,0
865,1
866,0
867,0
868,1
869,0
870,0
871,1
872,0
873,0
874,0
875,0
876,1
877,1
878,0
879,1
880,0
881,1
882,1
883,0
884,1
885,0
886,0
887,0
888,1
889,1
890,0
891,0
892,0
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,1
908,0
909,1
910,1
911,1
912,0
913,1
914,0
915,1
916,0
917,1
918,0
919,1
920,1
921,1
922,0
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,0
931,0
932,1
933,0
934,1
935,1
936,1
937,1
938,0
939,0
940,1
941,1
942,0
943,1
944,0
945,1
946,0
947,0
948,1
949,1
950,0
951,0
952,1
953,1
954,0
955,0
956,1
957,0
958,0
959,1
960,0
961,0
962,0
963,1
964,1
965,1
966,0
967,0
968,0
969,1
970,1
971,0
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,0
980,1
981,1
982,0
983,1
984,0
985,1
986,0
987,1
988,0
989,1
990,1
991,0
992,0
993,1
994,0
995,1
996,0
997,0
998,1
999,1
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,0
1019,0
1020,1
1021,1
1022,1
1023,0
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,1
1039,1
1040,0
1041,0
1042,1
1043,0
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,1
1051,1
1052,0
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,1
