,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FGPerc,3PM,3PA,ThreePPerc,FTM,FTA,FTPerc,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/,EFGPerc,FTR,TOVPerc
0,GSW,6/5/19,GSW vs. TOR,L,241,109,36,91,39.6,12,36,33.3,25,30,83.3,13,28,41,25,8,3,14,21,-14.0,0.46153846153846156,0.32967032967032966,11.844331641285956
3,TOR,6/2/19,TOR vs. GSW,L,240,104,35,94,37.2,11,38,28.9,23,26,88.5,15,34,49,17,8,2,15,22,-5.0,0.4308510638297872,0.2765957446808511,12.454334108269679
5,TOR,5/30/19,TOR vs. GSW,W,241,118,39,77,50.6,13,33,39.4,27,32,84.4,7,29,36,25,6,6,10,26,9.0,0.5909090909090909,0.4155844155844156,9.893153937475267
7,TOR,5/25/19,TOR vs. MIL,W,239,100,36,74,48.6,12,27,44.4,16,22,72.7,6,32,38,20,7,4,10,24,6.0,0.5675675675675675,0.2972972972972973,10.67463706233988
8,MIL,5/23/19,MIL vs. TOR,L,240,99,38,84,45.2,10,31,32.3,13,18,72.2,8,45,53,26,2,2,11,22,-6.0,0.5119047619047619,0.21428571428571427,10.687912942090943
11,TOR,5/21/19,TOR vs. MIL,W,239,120,41,87,47.1,14,41,34.1,24,27,88.9,10,34,44,32,9,5,11,23,18.0,0.5517241379310345,0.3103448275862069,10.010921004732436
13,POR,5/20/19,POR vs. GSW,L,265,117,47,98,48.0,16,41,39.0,7,10,70.0,6,32,38,31,5,6,12,15,-2.0,0.5612244897959183,0.10204081632653061,10.48951048951049
15,TOR,5/19/19,TOR vs. MIL,W,290,118,40,102,39.2,17,45,37.8,21,26,80.8,8,47,55,28,11,10,17,30,6.0,0.47549019607843135,0.2549019607843137,13.0328120208525
17,POR,5/18/19,POR vs. GSW,L,239,99,34,85,40.0,11,35,31.4,20,33,60.6,10,31,41,22,9,3,11,23,-11.0,0.4647058823529412,0.38823529411764707,9.952949692363374
18,MIL,5/17/19,MIL vs. TOR,W,240,125,43,92,46.7,13,41,31.7,26,35,74.3,11,42,53,27,6,4,7,26,22.0,0.5380434782608695,0.3804347826086957,6.118881118881118
20,GSW,5/16/19,GSW vs. POR,W,242,114,42,82,51.2,9,29,31.0,21,27,77.8,12,38,50,30,4,9,16,21,3.0,0.5670731707317073,0.32926829268292684,14.561339643247178
22,MIL,5/15/19,MIL vs. TOR,W,241,108,37,93,39.8,11,44,25.0,23,27,85.2,15,45,60,21,8,11,12,16,8.0,0.45698924731182794,0.2903225806451613,10.26694045174538
24,GSW,5/14/19,GSW vs. POR,W,240,116,42,84,50.0,17,33,51.5,15,18,83.3,11,31,42,30,13,8,14,24,22.0,0.6011904761904762,0.21428571428571427,13.217522658610273
26,DEN,5/12/19,DEN vs. POR,L,240,96,33,89,37.1,2,19,10.5,28,39,71.8,13,38,51,15,1,9,5,23,-4.0,0.38202247191011235,0.43820224719101125,4.49802087081684
29,TOR,5/12/19,TOR vs. PHI,W,239,92,34,89,38.2,7,30,23.3,17,19,89.5,16,33,49,15,10,4,10,22,2.0,0.42134831460674155,0.21348314606741572,9.314456035767511
31,HOU,5/10/19,HOU vs. GSW,L,240,113,42,89,47.2,17,39,43.6,12,17,70.6,12,28,40,21,9,1,15,22,-5.0,0.5674157303370787,0.19101123595505617,13.455328310010763
33,PHI,5/9/19,PHI vs. TOR,W,243,112,41,89,46.1,10,28,35.7,20,26,76.9,16,36,52,27,5,3,18,22,11.0,0.5168539325842697,0.29213483146067415,15.19756838905775
34,POR,5/9/19,POR vs. DEN,W,241,119,41,89,46.1,15,33,45.5,22,30,73.3,11,32,43,18,4,5,9,20,11.0,0.5449438202247191,0.33707865168539325,8.093525179856115
37,GSW,5/8/19,GSW vs. HOU,W,240,104,39,85,45.9,13,37,35.1,13,18,72.2,12,30,42,28,6,1,15,19,5.0,0.5352941176470588,0.21176470588235294,13.899184581171237
39,MIL,5/8/19,MIL vs. BOS,W,240,116,42,94,44.7,15,47,31.9,17,22,77.3,12,46,58,27,8,7,16,23,25.0,0.526595744680851,0.23404255319148937,13.36898395721925
40,DEN,5/7/19,DEN vs. POR,W,239,124,44,89,49.4,8,24,33.3,28,31,90.3,10,52,62,26,4,4,8,22,26.0,0.5393258426966292,0.34831460674157305,7.230657989877079
43,TOR,5/7/19,TOR vs. PHI,W,240,125,40,82,48.8,16,40,40.0,29,33,87.9,6,36,42,22,12,2,10,18,36.0,0.5853658536585366,0.4024390243902439,9.38790837401427
44,BOS,5/6/19,BOS vs. MIL,L,240,101,34,90,37.8,9,41,22.0,24,30,80.0,9,42,51,25,3,5,10,20,-12.0,0.42777777777777776,0.3333333333333333,8.8339222614841
46,HOU,5/6/19,HOU vs. GSW,W,239,112,39,89,43.8,17,50,34.0,17,24,70.8,13,37,50,18,6,6,13,23,4.0,0.5337078651685393,0.2696629213483146,11.549395877754085
49,PHI,5/5/19,PHI vs. TOR,L,239,96,33,82,40.2,12,38,31.6,18,25,72.0,11,32,43,22,8,6,12,23,-5.0,0.47560975609756095,0.3048780487804878,11.428571428571429
50,POR,5/5/19,POR vs. DEN,L,240,112,39,82,47.6,12,28,42.9,22,28,78.6,12,31,43,18,4,5,14,27,-4.0,0.5487804878048781,0.34146341463414637,12.92466765140325
53,HOU,5/4/19,HOU vs. GSW,W,265,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,4,6,13,24,5.0,0.5806451612903226,0.27956989247311825,11.069482288828338
54,BOS,5/3/19,BOS vs. MIL,L,240,116,35,81,43.2,16,40,40.0,30,32,93.8,6,38,44,24,9,3,17,27,-7.0,0.5308641975308642,0.3950617283950617,15.167737330478229
57,POR,5/3/19,POR vs. DEN,W,340,140,52,124,41.9,12,42,28.6,24,28,85.7,24,38,62,23,13,5,13,24,3.0,0.46774193548387094,0.22580645161290322,8.706134476292526
58,PHI,5/2/19,PHI vs. TOR,W,239,116,43,84,51.2,10,23,43.5,20,23,87.0,9,36,45,29,4,8,13,17,21.0,0.5714285714285714,0.27380952380952384,12.135922330097088
60,DEN,5/1/19,DEN vs. POR,L,239,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7.0,0.37755102040816324,0.2653061224489796,7.598784194528875
63,GSW,4/30/19,GSW vs. HOU,W,239,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,6.0,0.521978021978022,0.26373626373626374,10.567101091933779
65,MIL,4/30/19,MIL vs. BOS,W,240,123,39,88,44.3,20,47,42.6,25,31,80.6,10,43,53,22,6,4,11,24,21.0,0.5568181818181818,0.3522727272727273,9.765625
66,DEN,4/29/19,DEN vs. POR,W,240,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,12,22,8.0,0.5802469135802469,0.38271604938271603,11.252813203300825
69,TOR,4/29/19,TOR vs. PHI,L,240,89,33,90,36.7,10,37,27.0,13,15,86.7,9,27,36,20,10,4,10,22,-5.0,0.4222222222222222,0.16666666666666666,9.380863039399626
71,GSW,4/28/19,GSW vs. HOU,W,239,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4.0,0.5533333333333333,0.36,18.7125748502994
73,MIL,4/28/19,MIL vs. BOS,L,238,90,31,89,34.8,13,39,33.3,15,24,62.5,7,37,44,19,6,2,10,11,-22.0,0.42134831460674155,0.2696629213483146,9.127418765972983
74,DEN,4/27/19,DEN vs. SAS,W,239,90,35,88,39.8,2,20,10.0,18,23,78.3,13,40,53,21,3,8,6,19,4.0,0.4090909090909091,0.26136363636363635,5.762581636573184
77,TOR,4/27/19,TOR vs. PHI,W,240,108,41,79,51.9,9,27,33.3,17,24,70.8,2,38,40,21,3,6,10,24,13.0,0.5759493670886076,0.3037974683544304,10.04419445560466
79,LAC,4/26/19,LAC vs. GSW,L,240,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,7,5,14,26,-19.0,0.453125,0.2916666666666667,11.445389143230871
81,SAS,4/25/19,SAS vs. DEN,W,240,120,48,84,57.1,10,24,41.7,14,17,82.4,10,31,41,25,3,7,7,17,17.0,0.6309523809523809,0.20238095238095238,7.10804224207961
82,GSW,4/24/19,GSW vs. LAC,L,240,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,-8.0,0.5260416666666666,0.22916666666666666,7.0372976776917655
83,HOU,4/24/19,HOU vs. UTA,W,240,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,7.0,0.5246913580246914,0.2716049382716049,15.787518573551262
87,DEN,4/23/19,DEN vs. SAS,W,240,108,39,78,50.0,14,33,42.4,16,20,80.0,7,42,49,25,4,6,13,21,18.0,0.5897435897435898,0.2564102564102564,13.026052104208416
90,PHI,4/23/19,PHI vs. BKN,W,240,122,51,100,51.0,14,33,42.4,6,9,66.7,11,45,56,35,10,3,19,21,22.0,0.58,0.09,15.452179570592065
91,POR,4/23/19,POR vs. OKC,W,240,118,45,96,46.9,13,35,37.1,15,23,65.2,13,32,45,22,8,5,9,18,3.0,0.5364583333333334,0.23958333333333334,7.817929117442668
93,TOR,4/23/19,TOR vs. ORL,W,240,115,41,85,48.2,15,36,41.7,18,21,85.7,8,40,48,34,8,3,14,30,19.0,0.5705882352941176,0.24705882352941178,12.934220251293423
94,DET,4/22/19,DET vs. MIL,L,240,104,41,100,41.0,13,34,38.2,9,12,75.0,10,26,36,26,8,1,10,31,-23.0,0.475,0.12,8.674531575294935
97,UTA,4/22/19,UTA vs. HOU,W,241,107,37,86,43.0,11,35,31.4,22,26,84.6,16,36,52,24,7,7,14,19,16.0,0.4941860465116279,0.3023255813953488,12.562814070351758
100,IND,4/21/19,IND vs. BOS,L,240,106,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,-4.0,0.4659090909090909,0.3181818181818182,10.683760683760685
101,LAC,4/21/19,LAC vs. GSW,L,240,105,34,80,42.5,13,31,41.9,24,32,75.0,4,29,33,22,8,4,10,21,-8.0,0.50625,0.4,9.607993850883934
102,OKC,4/21/19,OKC vs. POR,L,241,98,33,88,37.5,15,40,37.5,17,22,77.3,6,38,44,23,7,4,14,22,-13.0,0.4602272727272727,0.25,12.535816618911175
103,ORL,4/21/19,ORL vs. TOR,L,241,85,34,81,42.0,7,33,21.2,10,13,76.9,7,27,34,20,7,2,17,19,-22.0,0.46296296296296297,0.16049382716049382,16.390281527188584
106,BKN,4/20/19,BKN vs. PHI,L,240,108,36,90,40.0,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,-4.0,0.4666666666666667,0.34444444444444444,11.900714042842571
108,DET,4/20/19,DET vs. MIL,L,240,103,37,96,38.5,11,36,30.6,18,24,75.0,15,29,44,21,9,6,9,24,-16.0,0.4427083333333333,0.25,7.78816199376947
112,SAS,4/20/19,SAS vs. DEN,L,240,103,37,79,46.8,5,17,29.4,24,32,75.0,11,35,46,23,4,4,9,22,-14.0,0.5,0.4050632911392405,8.816614420062695
113,UTA,4/20/19,UTA vs. HOU,L,241,101,32,77,41.6,12,41,29.3,25,38,65.8,7,41,48,21,9,11,14,22,-3.0,0.4935064935064935,0.4935064935064935,12.996658002227997
115,IND,4/19/19,IND vs. BOS,L,239,96,34,81,42.0,11,30,36.7,17,23,73.9,8,32,40,20,9,4,9,19,-8.0,0.4876543209876543,0.2839506172839506,8.98921294446664
